,Gia du doan,Gia thuc,% sai lech
12075,169315.58553312573,166667.0,1.589148141579157
303,62469.08160068924,61458.0,1.645158646049728
9349,116472.71128542394,114583.0,1.6492073740641617
10984,93408.49035623779,95000.0,1.6752733092233814
5997,102418.70310561381,104167.0,1.6783596478598717
7697,65522.94470920783,66667.0,1.7160743558164708
4471,155526.74184076465,158333.0,1.7723773055745504
12196,103918.148070801,102083.0,1.7977019394032363
11958,157530.52721849072,160417.0,1.7993559170843971
7669,105558.1972330548,107500.0,1.806328155297859
163,68718.09168558843,70000.0,1.8312975920165315
9876,153327.33119451615,156250.0,1.8705080355096608
10306,428994.3560834173,437500.0,1.944147180933186
2890,122137.4642052554,119792.0,1.9579472796642492
2768,117555.34494083298,115292.0,1.9631413635230337
8601,102082.47742586951,104167.0,2.0011352675324137
6910,96486.05729508154,98542.0,2.0863618608496477
1958,80824.86131834185,79167.0,2.0941317952453034
10958,22549.024794074903,22083.0,2.110332808381575
5334,68076.61881234644,66667.0,2.1144176464314253
383,68102.18337092437,66667.0,2.1527642925650854
8634,122288.44215007949,125000.0,2.169246279936412
3799,104352.94926441326,102083.0,2.2236310300571644
7534,50281.094560418234,49167.0,2.2659396758358947
9954,118085.24991194975,120833.0,2.274006345990126
2876,199425.079405971,204167.0,2.322569560227173
2544,199425.079405971,204167.0,2.322569560227173
12067,199425.079405971,204167.0,2.322569560227173
9571,199425.079405971,204167.0,2.322569560227173
3853,199425.079405971,204167.0,2.322569560227173
8295,199425.079405971,204167.0,2.322569560227173
1170,199425.079405971,204167.0,2.322569560227173
3310,199425.079405971,204167.0,2.322569560227173
3979,199425.079405971,204167.0,2.322569560227173
3733,199425.079405971,204167.0,2.322569560227173
7017,199425.079405971,204167.0,2.322569560227173
9860,199425.079405971,204167.0,2.322569560227173
8950,199425.079405971,204167.0,2.322569560227173
10258,199425.079405971,204167.0,2.322569560227173
11855,199425.079405971,204167.0,2.322569560227173
2896,199425.079405971,204167.0,2.322569560227173
6139,199425.079405971,204167.0,2.322569560227173
3020,199425.079405971,204167.0,2.322569560227173
11955,199425.079405971,204167.0,2.322569560227173
7595,199425.079405971,204167.0,2.322569560227173
12434,199425.079405971,204167.0,2.322569560227173
6601,199425.079405971,204167.0,2.322569560227173
8626,199425.079405971,204167.0,2.322569560227173
1056,199425.079405971,204167.0,2.322569560227173
4103,199425.079405971,204167.0,2.322569560227173
7273,199425.079405971,204167.0,2.322569560227173
3282,199425.079405971,204167.0,2.322569560227173
8566,199425.079405971,204167.0,2.322569560227173
9132,150567.83294531237,154167.0,2.3345897985221393
4301,92960.69677436828,90833.0,2.34242706325705
9781,55451.611603776764,54167.0,2.371576058812126
3815,98116.93535361609,95833.0,2.383245180278289
6999,128117.83428049732,131250.0,2.3864119767639456
12243,107772.12224092918,110417.0,2.395353758090529
8978,102446.8825188467,105042.0,2.470552237346298
11262,78149.51099116738,76250.0,2.4911619556293494
3411,99536.68109880954,102083.0,2.4943613541828333
3512,23512.20898543531,22917.0,2.5972377948043404
3755,68970.26378478027,70833.0,2.629757620346069
11390,74841.90591677662,72917.0,2.639858903652954
12170,93272.2702422444,95833.0,2.672075128354118
4783,192533.1633642757,187500.0,2.6843537942803777
9944,152023.51149785146,156250.0,2.704952641375065
8677,102958.28406513661,105833.0,2.716275580266445
11831,114273.30063917539,111250.0,2.7175736082475397
3788,127978.08696513918,124583.0,2.725160708234016
12146,68085.17879772809,70000.0,2.7354588603884413
6516,96043.6107569635,98750.0,2.7406473347205003
