DiaChi,Quan,TinhTrangBDS,DienTich,Phongngu,PhongTam,Loai,GiayTo,TinhTrangNoiThat,Gia,USD,log_price,Rank
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,54.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1650000000.0,68750.0,11.138232015528818,68750.0
"628A Xa Lộ Hà Nội, phường An Phú, quận 2, Tp.HCM, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Quận 2,Chưa bàn giao,50.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,4900000000.0,204167.0,12.226693565384638,204167.0
"NGUYỄN OANH, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh", Quận Gò Vấp,Chưa bàn giao,66.0,2.0,2.0,Chung cư,Giấy tờ khác,Nội thất cao cấp,2390000000.0,99583.0,11.508746746273811,99583.0
"119, 119 Đường Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh", Quận Phú Nhuận,Đã bàn giao,69.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,3950000000.0,164583.0,12.011170281210852,164583.0
"Đường 6D, Phường Phước Bình, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,65.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,2000000000.0,83333.0,11.330599908168274,83333.0
"9A Đường Thạnh Xuân 13, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh", Quận 12,Chưa bàn giao,65.0,2.0,2.0,Chung cư,Giấy tờ khác,Nội thất cao cấp,2500000000.0,104167.0,11.553750659485363,104167.0
"Đường Phú Mỹ Hưng, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,194.0,3.0,3.0,Penthouse,Đã có sổ,Nội thất cao cấp,7000000000.0,291667.0,12.583368019528132,291667.0
"Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,60.45,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1690000000.0,70417.0,11.162189990267915,70417.0
"Đường Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh", Quận 8,Chưa bàn giao,54.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,2450000000.0,102083.0,11.53354148686151,102083.0
"KĐT City Horse Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,100.0,3.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,3950000000.0,164583.0,12.011170281210852,164583.0
"Đường Trường Thọ, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,62.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1950000000.0,81250.0,11.305286100191983,81250.0
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,55.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1750000000.0,72917.0,11.197077086969871,72917.0
"Số 277, Số 277 Đường Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh", Quận 8,Chưa bàn giao,50.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,1500000000.0,62500.0,11.042921835724492,62500.0
"Hoà Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Đã bàn giao,65.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,2850000000.0,118750.0,11.684775721896887,118750.0
"Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,55.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1840000000.0,76667.0,11.247226647053855,76667.0
"Đường Nam Rạch Chiếc, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,80.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,4400000000.0,183333.0,12.119059450357073,183333.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,69.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,3400000000.0,141667.0,11.861234512176852,141667.0
"đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,72.0,2.0,2.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,2270000000.0,94583.0,11.457233034874356,94583.0
"Hạu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,97.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,3550000000.0,147917.0,11.90440658462224,147917.0
"Số 34-35, Số 34-35 Đường Bến Vân Đồn, Phường 12, Quận 4, Tp Hồ Chí Minh", Quận 4,Đã bàn giao,82.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,5500000000.0,229167.0,12.34220627439915,229167.0
"số 88, số 88 Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Chưa bàn giao,96.0,2.0,2.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,4730000000.0,197083.0,12.191380238786817,197083.0
"số 88, số 88 Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Đã bàn giao,71.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,3100000000.0,129167.0,11.76886141974926,129167.0
"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh", Quận 6,Chưa bàn giao,50.0,2.0,1.0,Chung cư,Giấy tờ khác,Nội thất đầy đủ,1800000000.0,75000.0,11.225243392518449,75000.0
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,62.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1850000000.0,77083.0,11.252638042372888,77083.0
"Số 1177, Số 1177 đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,35.0,1.0,1.0,Officetel,Đang chờ sổ,Hoàn thiện cơ bản,1200000000.0,50000.0,10.819778284410283,50000.0
"Đường 15B, Phường Phú Mỹ, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,60.0,1.0,1.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1480000000.0,61667.0,11.02950422078315,61667.0
"359, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,50.0,2.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,2200000000.0,91667.0,11.425917724337625,91667.0
"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,83.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,2950000000.0,122917.0,11.719264609828787,122917.0
"Lô 5, Lô 5 Khu đô thị Vĩnh Lộc, Phường Bình Hưng Hoà B, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,68.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1600000000.0,66667.0,11.107465356849564,66667.0
"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,70.12,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,2850000000.0,118750.0,11.684775721896887,118750.0
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Huyện Nhà Bè,Đã bàn giao,200.0,4.0,3.0,Duplex,Đã có sổ,Hoàn thiện cơ bản,3150000000.0,131250.0,11.78485918045387,131250.0
"Đường Xa lộ Đại Hàn, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,40.0,1.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1050000000.0,43750.0,10.68624689178576,43750.0
"Đường 267B, Phường 7, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,86.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1690000000.0,70417.0,11.162189990267915,70417.0
"đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,55.0,1.0,1.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1800000000.0,75000.0,11.225243392518449,75000.0
"Đường 66, Phường Thảo Điền, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,72.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,3700000000.0,154167.0,11.945791709426333,154167.0
"291/2, 291/2 Đường Lũy Bán Bích, Phường Hòa Thạnh, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Đã bàn giao,71.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,2650000000.0,110417.0,11.612019386477828,110417.0
"số 152, số 152 Đường Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh", Quận Bình Thạnh,Chưa bàn giao,75.0,2.0,2.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,4000000000.0,166667.0,12.02375308873422,166667.0
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,64.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1670000000.0,69583.0,11.150275563614356,69583.0
"Đường Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,64.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1720000000.0,71667.0,11.179785669593665,71667.0
"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,70.12,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,2850000000.0,118750.0,11.684775721896887,118750.0
"Đường Liên Phường, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,62.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,1800000000.0,75000.0,11.225243392518449,75000.0
"Đường Lê Đức Thọ, Phường 17, Quận Gò Vấp, Tp Hồ Chí Minh", Quận Gò Vấp,Đã bàn giao,62.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,2500000000.0,104167.0,11.553750659485363,104167.0
"Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, Tp Hồ Chí Minh", Huyện Bình Chánh,Chưa bàn giao,64.0,2.0,2.0,"Tập thể, cư xá",Đã có sổ,Hoàn thiện cơ bản,850000000.0,35417.0,10.47494720983897,35417.0
"200 Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh, Phường Thảo Điền, Quận 2, Tp Hồ Chí Minh", Quận 2,Chưa bàn giao,88.0,2.0,2.0,Officetel,Đã có sổ,Hoàn thiện cơ bản,70000000.0,2917.0,7.978310969867722,2917.0
"16, 16 Đường Phổ Quang, Phường 2, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,36.0,1.0,1.0,Officetel,Đang chờ sổ,Nội thất đầy đủ,1750000000.0,72917.0,11.197077086969871,72917.0
"Đường Thân Nhân Trung, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Chưa bàn giao,36.0,1.0,1.0,"Căn hộ dịch vụ, mini",Đã có sổ,Nội thất đầy đủ,900000000.0,37500.0,10.532096211958502,37500.0
"Đường 54, Phường Bình Trưng Đông, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,64.0,2.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1890000000.0,78750.0,11.27403355668788,78750.0
"Đường Bế Văn Cấm, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,68.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,3000000000.0,125000.0,11.736069016284436,125000.0
"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh", Huyện Nhà Bè,Đã bàn giao,121.0,3.0,3.0,Chung cư,Đã có sổ,Nội thất đầy đủ,2500000000.0,104167.0,11.553750659485363,104167.0
"13E, 13E Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh", Huyện Bình Chánh,Chưa bàn giao,51.0,2.0,2.0,Chung cư,Giấy tờ khác,Nội thất đầy đủ,1550000000.0,64583.0,11.07570649724384,64583.0
"Hạu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,97.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,3550000000.0,147917.0,11.90440658462224,147917.0
"119, 119 Đường Phổ Quang, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh", Quận Phú Nhuận,Đã bàn giao,85.0,3.0,2.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,4900000000.0,204167.0,12.226693565384638,204167.0
"Đường Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh", Quận 8,Chưa bàn giao,54.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,2450000000.0,102083.0,11.53354148686151,102083.0
"Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh", Huyện Hóc Môn,Đã bàn giao,36.0,1.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,290000000.0,12083.0,9.399554785027307,12083.0
"Đường Song Hành, Phường Hiệp Phú, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,90.0,3.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,3000000000.0,125000.0,11.736069016284436,125000.0
"Đường Lê Văn Lương, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh", Huyện Nhà Bè,Chưa bàn giao,56.0,2.0,1.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,36000000.0,1500.0,7.313220387090301,1500.0
"10, 10 Đường Mai Chí Thọ, Phường An Lợi Đông, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,88.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,6100000000.0,254167.0,12.445746810270144,254167.0
"Đường Phạm Văn Đồng, Phường Linh Trung, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Chưa bàn giao,53.0,1.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,1900000000.0,79167.0,11.279314824306176,79167.0
"Đường Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Chưa bàn giao,61.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,130000000.0,5417.0,8.597297435657898,5417.0
"Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,68.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,2550000000.0,106250.0,11.573550086786664,106250.0
"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh", Huyện Nhà Bè,Đã bàn giao,61.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1090000000.0,45417.0,10.72364176327999,45417.0
"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,70.12,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,2850000000.0,118750.0,11.684775721896887,118750.0
"33, 33 Đường Trương Công Định, Phường 14, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,75.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,3000000000.0,125000.0,11.736069016284436,125000.0
"đường Lê Văn Lương, xã Nhơn Đức, huyện Nhà Bè, Tp.HCM, Xã Nhơn Đức, Huyện Nhà Bè, Tp Hồ Chí Minh", Huyện Nhà Bè,Chưa bàn giao,66.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,330000000.0,13750.0,9.528794103094718,13750.0
"Đường Ấp Bắc, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,48.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,750000000.0,31250.0,10.349774655164548,31250.0
"Lô A1, Lô A1 Khu đô thị Him Lam, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,57.0,2.0,1.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,2700000000.0,112500.0,11.630708500626612,112500.0
"100 đường Cô Giang, phường Cô Giang, Quận 1., Phường Cô Giang, Quận 1, Tp Hồ Chí Minh", Quận 1,Chưa bàn giao,87.0,3.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,10000000000.0,416667.0,12.940042620610054,416667.0
"bến bình đông, Phường 14, Quận 8, Tp Hồ Chí Minh", Quận 8,Chưa bàn giao,54.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,340000000.0,14167.0,9.55867059537935,14167.0
"Đường Trương Phước Phan, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,62.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,2000000000.0,83333.0,11.330599908168274,83333.0
"111B, 111B Lý Thánh Tông, Phường Tân Thới Hòa, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Đã bàn giao,56.3,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1950000000.0,81250.0,11.305286100191983,81250.0
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,95.0,3.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,5300000000.0,220833.0,12.305162038739304,220833.0
"Đường Phạm Văn Nghị, Phường Tân Phong, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,70.12,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,2850000000.0,118750.0,11.684775721896887,118750.0
"Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh", Quận 5,Đã bàn giao,160.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,12400000000.0,516667.0,13.1551538453884,516667.0
"KĐT City Horse Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,74.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,3000000000.0,125000.0,11.736069016284436,125000.0
"346, 346 Đường Bến Vân Đồn, Phường 1, Quận 4, Tp Hồ Chí Minh", Quận 4,Đã bàn giao,81.0,3.0,2.0,Officetel,Đang chờ sổ,Nội thất đầy đủ,4000000000.0,166667.0,12.02375308873422,166667.0
"đường Nguyễn Thị Búp, Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh", Quận 12,Đã bàn giao,120.0,2.0,2.0,Penthouse,Đang chờ sổ,Hoàn thiện cơ bản,4000000000.0,166667.0,12.02375308873422,166667.0
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,56.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,2950000000.0,122917.0,11.719264609828787,122917.0
"số 88, số 88 Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Chưa bàn giao,104.0,3.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,4450000000.0,185417.0,12.13036262154567,185417.0
"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Chưa bàn giao,56.0,2.0,1.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,2288000000.0,95333.0,11.46513130462427,95333.0
"Đường Võ Văn Tần, Phường 5, Quận 3, Tp Hồ Chí Minh", Quận 3,Đã bàn giao,25.0,2.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1900000000.0,79167.0,11.279314824306176,79167.0
"Đường Hồng Lạc, Phường 10, Quận Tân Bình, Tp Hồ Chí Minh", Quận Tân Bình,Đã bàn giao,48.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1720000000.0,71667.0,11.179785669593665,71667.0
"tầng 2, Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,68.0,2.0,1.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,1650000000.0,68750.0,11.138232015528818,68750.0
"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,95.0,3.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,5300000000.0,220833.0,12.305162038739304,220833.0
"Đường Phan Văn Trị, Phường 2, Quận 5, Tp Hồ Chí Minh", Quận 5,Đã bàn giao,160.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,12400000000.0,516667.0,13.1551538453884,516667.0
"Đường Cây Keo, Phường Tam Phú, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,60.45,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1690000000.0,70417.0,11.162189990267915,70417.0
"Đường Huỳnh thị Phụng, Phường 4, Quận 8, Tp Hồ Chí Minh", Quận 8,Đã bàn giao,56.0,2.0,1.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1600000000.0,66667.0,11.107465356849564,66667.0
"Đường Bình Chiểu, Phường Bình Chiểu, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,61.0,2.0,2.0,Chung cư,Đang chờ sổ,Hoàn thiện cơ bản,1750000000.0,72917.0,11.197077086969871,72917.0
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,56.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,2600000000.0,108333.0,11.592965095715954,108333.0
"523A, 523A Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Tp Hồ Chí Minh", Quận 9,Đã bàn giao,70.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,2300000000.0,95833.0,11.470362372284514,95833.0
"Đường Quốc Lộ 13, Phường 10, Quận Gò Vấp, Tp Hồ Chí Minh", Quận Gò Vấp,Đã bàn giao,56.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1200000000.0,50000.0,10.819778284410283,50000.0
"Đường Xa lộ Đại Hàn, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh", Quận Thủ Đức,Đã bàn giao,38.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,1060000000.0,44167.0,10.695733182881636,44167.0
"Đường Lê Văn Lương, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh", Quận 7,Chưa bàn giao,87.0,3.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,33000000.0,1375.0,7.226209010100671,1375.0
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh", Quận 9,Chưa bàn giao,78.0,3.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,150000000.0,6250.0,8.740336742730447,6250.0
"239 – 241 – 278, 239 – 241 – 278 Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Đã bàn giao,65.8,2.0,2.0,Chung cư,Giấy tờ khác,Hoàn thiện cơ bản,2630000000.0,109583.0,11.60443753197628,109583.0
"Đường Hương lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Đã bàn giao,78.0,3.0,2.0,Chung cư,Đang chờ sổ,Nội thất đầy đủ,2300000000.0,95833.0,11.470362372284514,95833.0
"403A, Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Tp Hồ Chí Minh", Quận 2,Đã bàn giao,107.15,3.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,8500000000.0,354167.0,12.777523832288628,354167.0
"Đường Phú Thuận, Phường Tân Phú, Quận 7, Tp.HCM, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh", Quận 7,Đã bàn giao,73.6,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,3850000000.0,160417.0,11.98553195383594,160417.0
"Đường Bến Bình Đông, Phường 14, Quận 8, Tp Hồ Chí Minh", Quận 8,Chưa bàn giao,54.0,2.0,1.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,2450000000.0,102083.0,11.53354148686151,102083.0
"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,83.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất cao cấp,2950000000.0,122917.0,11.719264609828787,122917.0
"Đường Lê Văn Tám, Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh", Quận Bình Tân,Chưa bàn giao,36.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,885000000.0,36875.0,10.51528909364212,36875.0
"Hạu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,97.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,3550000000.0,147917.0,11.90440658462224,147917.0
"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,97.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,3900000000.0,162500.0,11.998433280751929,162500.0
"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,102.0,2.0,2.0,Chung cư,Đã có sổ,Nội thất đầy đủ,3690000000.0,153750.0,11.943083185668764,153750.0
"Đường Hậu Giang, Phường 11, Quận 6, Tp Hồ Chí Minh", Quận 6,Đã bàn giao,86.0,2.0,2.0,Chung cư,Đã có sổ,Hoàn thiện cơ bản,3250000000.0,135417.0,11.816114185493406,135417.0
"số 88, số 88 Đường N1, Phường Sơn Kỳ, Quận Tân Phú, Tp Hồ Chí Minh", Quận Tân Phú,Đã bàn giao,71.0,2.0,2.0,Chung cư,Đang chờ sổ,Nội thất cao cấp,3400000000.0,141667.0,11.861234512176852,141667.0
"Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh", Quận Bình Thạnh,Đã bàn giao,57.0,1.0,1.0,Chung cư,Đã có sổ,Nội thất đầy đủ,2700000000.0,112500.0,11.630708500626612,112500.0
